,ExpressId,GlobalId,Class,PredefinedType,Name,Level,Type,Material,KAAN_Project information.Building name,Pset_ManufacturerTypeInformation.id,KAAN_ILS Summary.Dragend | Load Bearing,KAAN_ILS Summary.Uitwendig | External,Pset_ProvisionForVoid.Depth,Pset_ManufacturerTypeInformation.Manufacturer,KAAN_Project information.Project name,Pset_AirSideSystemInformation.Name,Pset_BuildingCommon.NumberOfStoreys,KAAN_IFC.IsExternal,KAAN_Project information.Project Number,KAAN_Project information.id,Pset_ProvisionForVoid.Height,Pset_BuildingElementProxyCommon.id,KAAN_ILS Summary.Bouwlaag | Level,KAAN_ILS Summary.Revit Category,Pset_QuantityTakeOff.Reference,Pset_ProductRequirements.Name,Pset_ProvisionForVoid.Width,Pset_BuildingElementProxyCommon.Reference,Pset_ProductRequirements.Category,Pset_AirSideSystemInformation.id,Pset_BuildingStoreyCommon.AboveGround,KAAN_ILS Summary.Naamgeving Element | Type Name,Pset_ProductRequirements.id,Pset_BuildingStoreyCommon.id,KAAN_Project information.Project status,Pset_BuildingCommon.id,KAAN_ILS Summary.id,Pset_QuantityTakeOff.id,Pset_BuildingCommon.IsLandmarked,KAAN_Project information.SiteName,KAAN_Project information.Organization,KAAN_ILS Summary.Fase Gebouwd | Construction Phase,KAAN_IFC.id,Pset_ProvisionForVoid.id
0,99,0CfLBxMtb1CPqMkok2OeNY,IfcBuilding,,<Building name>,,,,<Building name>,,,,,,Project name,,6.0,,TEM,59076.0,,,,Project Information,,,,,Project Information,,,,59067,,WIP,59065.0,59069,,UNKNOWN,<Site name>,KAAN,,,
1,103,28cBz4ygX5DPFIaCsQtzZc,IfcBuildingStorey,Level:Standard,-1,,,,,,False,,,,,-1,,,,,,,,Levels,,-1,,,Levels,58975.0,UNKNOWN,Standard,58980,58977.0,,,58984,,,,,,,
2,106,0CfLBxMtb1CPqMkojzdNia,IfcBuildingStorey,Level:Standard,00 ground floor,,,,,,False,,,,,00 ground floor,,,,,,,,Levels,,00 ground floor,,,Levels,58991.0,UNKNOWN,Standard,58995,58992.0,,,58998,,,,,,,
3,110,28cBz4ygX5DPFIaCsQtz1K,IfcBuildingStorey,Level:Standard,01,,,,,,False,,,,,01,,,,,,,,Levels,,01,,,Levels,59005.0,UNKNOWN,Standard,59009,59006.0,,,59012,,,,,,,
4,114,28cBz4ygX5DPFIaCsQtz6h,IfcBuildingStorey,Level:Standard,02,,,,,,False,,,,,02,,,,,,,,Levels,,02,,,Levels,59019.0,UNKNOWN,Standard,59023,59020.0,,,59026,,,,,,,
5,118,28cBz4ygX5DPFIaCsQtz6k,IfcBuildingStorey,Level:Standard,03,,,,,,False,,,,,03,,,,,,,,Levels,,03,,,Levels,59033.0,UNKNOWN,Standard,59037,59034.0,,,59040,,,,,,,
6,122,28cBz4ygX5DPFIaCsQtz6b,IfcBuildingStorey,Level:Standard,04,,,,,,False,,,,,04,,,,,,,,Levels,,04,,,Levels,59047.0,UNKNOWN,Standard,59051,59048.0,,,59054,,,,,,,
7,125,0CfLBxMtb1CPqMkok2OeNX,IfcSite,,<Site name>,,,,,,,,,,,,,,,,,,,Project Information,,,,,Project Information,,,,127,,,,129,,,,,,,
8,175,1pK0H4lwX1UxStDdMPQDCs,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810265,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,179.0,,No,6000.0,<reserved>,,,,False,,,807.6667108120482,177.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,181,,,,191,182.0,,,,New Construction,193.0,186.0
9,217,1pK0H4lwX1UxStDdMPQDCr,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810266,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,220.0,,No,6000.0,<reserved>,,,,False,,,807.6667108120482,218.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,222,,,,232,223.0,,,,New Construction,233.0,227.0
10,284,1pK0H4lwX1UxStDdMPQDCq,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810267,00 ground floor,00_GM_Box:00_GM_Box,ADDITIONAL MICROSCOPY,,287.0,,No,6000.0,<reserved>,,,,False,,,807.6667108120482,285.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,289,,,,299,290.0,,,,New Construction,300.0,294.0
11,324,1pK0H4lwX1UxStDdMPQDCp,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810268,00 ground floor,00_GM_Box:00_GM_Box,ADDITIONAL MICROSCOPY,,327.0,,No,6000.0,<reserved>,,,,False,,,807.6667108120482,325.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,329,,,,339,330.0,,,,New Construction,340.0,334.0
12,382,1pK0H4lwX1UxStDdMPQDCo,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810269,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,385.0,,No,3200.0,<reserved>,,,,False,,,807.6667108120482,383.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,387,,,,397,388.0,,,,New Construction,398.0,392.0
13,448,1pK0H4lwX1UxStDdMPQDCn,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810270,00 ground floor,00_GM_Box:00_GM_Box,ADDITIONAL MICROSCOPY,,451.0,,No,3200.0,<reserved>,,,,False,,,807.6667108120482,449.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,453,,,,463,454.0,,,,New Construction,464.0,458.0
14,514,1pK0H4lwX1UxStDdMPQDCm,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810271,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,517.0,,No,3200.0,<reserved>,,,,False,,,807.6667108120482,515.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,519,,,,529,520.0,,,,New Construction,530.0,524.0
15,554,1pK0H4lwX1UxStDdMPQDCF,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810272,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,557.0,,No,3200.0,<reserved>,,,,False,,,807.6667108120482,555.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,559,,,,569,560.0,,,,New Construction,570.0,564.0
16,612,1pK0H4lwX1UxStDdMPQDCE,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810273,00 ground floor,00_GM_Box:00_GM_Box,ADDITIONAL MICROSCOPY,,615.0,,No,3200.0,<reserved>,,,,False,,,807.6667108120482,613.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,617,,,,627,618.0,,,,New Construction,628.0,622.0
17,652,1pK0H4lwX1UxStDdMPQDCD,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810274,00 ground floor,00_GM_Box:00_GM_Box,ADDITIONAL MICROSCOPY,,655.0,,No,3200.0,<reserved>,,,,False,,,807.6667108120482,653.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,657,,,,667,658.0,,,,New Construction,668.0,662.0
18,710,1pK0H4lwX1UxStDdMPQDCC,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810275,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,713.0,,No,4000.0000000000005,<reserved>,,,,False,,,807.6667108120482,711.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,715,,,,725,716.0,,,,New Construction,726.0,720.0
19,776,1pK0H4lwX1UxStDdMPQDCB,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810276,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,779.0,,No,3200.0,<reserved>,,,,False,,,807.6667108120482,777.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,781,,,,791,782.0,,,,New Construction,792.0,786.0
20,842,1pK0H4lwX1UxStDdMPQDCA,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810277,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,845.0,,No,3200.0,<reserved>,,,,False,,,807.6667108120482,843.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,847,,,,857,848.0,,,,New Construction,858.0,852.0
21,908,1pK0H4lwX1UxStDdMPQDC9,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810278,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,911.0,,No,3200.0,<reserved>,,,,False,,,807.6667108120482,909.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,913,,,,923,914.0,,,,New Construction,924.0,918.0
22,974,1pK0H4lwX1UxStDdMPQDC8,IfcBuildingElementProxy,00_GM_Box:00_GM_Box,00_GM_Box:00_GM_Box:810279,00 ground floor,00_GM_Box:00_GM_Box,OTHERS,,977.0,,No,4000.0000000000005,<reserved>,,,,False,,,807.6667108120482,975.0,,Generic Models,00_GM_Box,,10000.0,00_GM_Box,Generic Models,,,00_GM_Box,979,,,,989,980.0,,,,New Construction,990.0,984.0
