Option,in:Afstand van Straat,in:Inkeping Hoek,in:Overspanning Vloer,in:Bouwsysteem,in:Vleugel Woningdiepte,in:Belemmeringshoek Zuid,in:Belemmeringshoek Noord,out:MPG [€/m2 per jaar],out:Gewicht [t],out:BVO Wonen Blok O[m2],out:Overspanning [m],out:Vormfactor [GBO/BVO],out:Terrassen [m2],out:% >2 Zonuren Terrassen,out:% >2 Zonuren Straat O,out:% >2 Zonuren Gevels,out:% >2 Zonuren Gevels Buren,out:% >2 Zonuren Binnentuin,out:% >15% Gevel Daglicht,out:% >30% Gevel Daglicht,img
1,0,0 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.204,4170,9591,3.6,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
2,3.6,0 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.204,4130,9513,3.6,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
3,0,0.5 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.205,4134,9472,3.6,0.48,1689,57,53,72,87,89,100,78,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
4,3.6,0.5 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.205,4093,9390,3.6,0.48,1613,60,73,71,87,88,100,79,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
5,0,1 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.205,4072,9364,3.6,0.48,1665,57,53,72,87,92,100,82,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
6,3.6,1 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.205,4025,9272,3.6,0.48,1589,59,73,72,87,91,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
7,0,1.5 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.203,3994,9257,3.6,0.48,1642,56,53,73,87,94,100,82,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
8,3.6,1.5 Grid,0,CLT Vloer/Wanden,6.3,30,30,0.202,3941,9155,3.6,0.48,1566,60,73,72,87,94,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
9,0,0 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.191,3989,9591,4.5,0.49,1712,53,53,71,87,87,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
10,3.6,0 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.196,4016,9513,4.5,0.49,1637,61,73,70,87,86,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
11,0,0.5 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.186,3855,9445,4.5,0.48,1683,57,53,72,87,90,100,80,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
12,3.6,0.5 Grid,1,CLT Vloer/Wanden,6.3,30,30,0.191,3880,9361,4.5,0.48,1607,60,73,72,87,89,100,81,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid30_BelemmeringshoekNoord30_NewView.png
